geography code,Name,Geography,Mid-2022,Mid-2011
E07000090,Havant,Non-metropolitan District,"124,854","120,783"
E07000091,New Forest,Non-metropolitan District,"175,942","176,789"
E07000092,Rushmoor,Non-metropolitan District,"101,060","94,354"
E07000093,Test Valley,Non-metropolitan District,"132,871","116,698"
E07000094,Winchester,Non-metropolitan District,"130,268","116,820"
E10000016,Kent,County,"1,593,191","1,466,466"
E07000105,Ashford,Non-metropolitan District,"135,610","118,405"
E07000106,Canterbury,Non-metropolitan District,"157,550","150,600"
E07000107,Dartford,Non-metropolitan District,"118,820","97,604"
E07000108,Dover,Non-metropolitan District,"117,473","111,718"
E07000112,Folkestone and Hythe,Non-metropolitan District,"110,237","108,199"
E07000109,Gravesham,Non-metropolitan District,"106,970","101,766"
E07000110,Maidstone,Non-metropolitan District,"180,428","155,764"
E07000111,Sevenoaks,Non-metropolitan District,"121,106","115,351"
E07000113,Swale,Non-metropolitan District,"154,619","136,324"
E07000114,Thanet,Non-metropolitan District,"140,689","134,402"
E07000115,Tonbridge and Malling,Non-metropolitan District,"133,661","121,087"
E07000116,Tunbridge Wells,Non-metropolitan District,"116,028","115,246"
E10000025,Oxfordshire,County,"738,276","654,791"
E07000177,Cherwell,Non-metropolitan District,"164,155","142,252"
E07000178,Oxford,Non-metropolitan District,"163,257","150,245"
E07000179,South Oxfordshire,Non-metropolitan District,"151,820","134,961"
E07000180,Vale of White Horse,Non-metropolitan District,"142,116","121,891"
E07000181,West Oxfordshire,Non-metropolitan District,"116,928","105,442"
E10000030,Surrey,County,"1,214,540","1,135,367"
E07000207,Elmbridge,Non-metropolitan District,"140,024","131,428"
E07000208,Epsom and Ewell,Non-metropolitan District,"81,184","75,191"
E07000209,Guildford,Non-metropolitan District,"145,673","137,580"
E07000210,Mole Valley,Non-metropolitan District,"87,769","85,637"
E07000211,Reigate and Banstead,Non-metropolitan District,"153,629","138,375"
E07000212,Runnymede,Non-metropolitan District,"88,524","80,501"
E07000213,Spelthorne,Non-metropolitan District,"103,551","95,852"
E07000214,Surrey Heath,Non-metropolitan District,"91,237","86,378"
E07000215,Tandridge,Non-metropolitan District,"88,707","83,178"
E07000216,Waverley,Non-metropolitan District,"130,063","121,754"
E07000217,Woking,Non-metropolitan District,"104,179","99,493"
E10000032,West Sussex,County,"892,336","808,919"
E07000223,Adur,Non-metropolitan District,"64,688","61,334"
E07000224,Arun,Non-metropolitan District,"166,366","149,811"
E07000225,Chichester,Non-metropolitan District,"126,103","113,995"
E07000226,Crawley,Non-metropolitan District,"119,509","107,053"
E07000227,Horsham,Non-metropolitan District,"148,696","131,540"
E07000228,Mid Sussex,Non-metropolitan District,"154,930","140,188"
E07000229,Worthing,Non-metropolitan District,"112,044","104,998"
E12000009,SOUTH WEST,Region,"5,764,881","5,300,831"
E06000022,Bath and North East Somerset,Unitary Authority,"195,618","175,538"
E06000058,"Bournemouth, Christchurch and Poole",Unitary Authority,"401,898","379,441"
E06000023,"Bristol, City of",Unitary Authority,"479,024","428,074"
E06000052,Cornwall,Unitary Authority,"575,413","533,760"
E06000059,Dorset,Unitary Authority,"383,274","365,897"
E06000053,Isles of Scilly,Unitary Authority,"2,281","2,224"
E06000024,North Somerset,Unitary Authority,"219,145","203,091"
E06000026,Plymouth,Unitary Authority,"266,862","256,589"
E06000066,Somerset,Unitary Authority,"576,852","531,581"
E06000025,South Gloucestershire,Unitary Authority,"294,765","263,417"
E06000030,Swindon,Unitary Authority,"235,657","209,709"
E06000027,Torbay,Unitary Authority,"139,479","131,193"
E06000054,Wiltshire,Unitary Authority,"515,885","474,319"
E10000008,Devon,County,"826,319","747,709"
E07000040,East Devon,Non-metropolitan District,"154,500","133,272"
E07000041,Exeter,Non-metropolitan District,"134,939","117,063"
E07000042,Mid Devon,Non-metropolitan District,"83,786","77,936"
E07000043,North Devon,Non-metropolitan District,"100,505","93,976"
