date,geography,geography code,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,ethnic groups
2021,Brent,E09000005,118612,31985,59725,5842,10942,10118,0.226806731
2021,Bromley,E09000006,135827,38668,73361,4069,15626,4103,0.175208169
2021,Camden,E09000007,92757,35929,34339,3609,11669,7211,0.242450705
2021,Croydon,E09000008,152946,43091,75544,7850,17655,8806,0.224334079
2021,Ealing,E09000009,133659,35662,67127,5928,15351,9591,0.230960878
2021,Enfield,E09000010,120923,31159,61811,7490,12476,7987,0.231163633
2021,Greenwich,E09000011,114051,34048,54826,5058,13044,7075,0.22075212
2021,Hackney,E09000012,106081,34928,42284,5006,13006,10857,0.2721411
2021,Hammersmith and Fulham,E09000013,81244,29324,31448,3534,9819,7119,0.251981685
2021,Haringey,E09000014,105092,32293,44822,5381,13385,9211,0.266214365
2021,Harrow,E09000015,89644,19852,53714,2960,7837,5281,0.179353889
2021,Havering,E09000016,101277,26129,61805,2746,7375,3222,0.131747583
2021,Hillingdon,E09000017,109228,26635,62840,3664,10336,5753,0.180841909
2021,Hounslow,E09000018,102961,26209,55632,4155,9973,6992,0.205126213
2021,Islington,E09000019,96496,34795,36595,4142,12409,8555,0.260176588
2021,Kensington and Chelsea,E09000020,66885,29232,22589,2634,8061,4369,0.225222397
2021,Kingston upon Thames,E09000021,65628,17716,33665,2038,8912,3297,0.217087219
2021,Lambeth,E09000022,134688,43154,55140,6427,15524,14443,0.27020967
2021,Lewisham,E09000023,122392,37147,53667,6528,15685,9365,0.258007059
2021,Merton,E09000024,81729,20464,40699,3511,11223,5832,0.251636506
2021,Newham,E09000025,115508,27038,63244,5111,9418,10697,0.2183918
2021,Redbridge,E09000026,103713,23886,61048,3722,9253,5804,0.181066983
2021,Richmond upon Thames,E09000027,80705,23871,38798,2366,12654,3016,0.223480577
2021,Southwark,E09000028,130818,43348,53576,6104,15240,12550,0.259092785
2021,Sutton,E09000029,82348,22197,45928,2794,8611,2818,0.17271822
2021,Tower Hamlets,E09000030,120539,38531,55623,2990,12289,11106,0.218891811
2021,Waltham Forest,E09000031,102902,26696,50259,5097,13095,7755,0.252152533
2021,Wandsworth,E09000032,137393,41132,61119,5037,18167,11938,0.255777223
2021,Westminster,E09000033,94817,40443,33079,3383,10536,7376,0.224590527
2021,Isle of Anglesey,W06000001,30818,10189,19572,156,736,165,0.034298137
2021,Gwynedd,W06000002,51105,17664,31079,252,1412,698,0.04621857
2021,Conwy,W06000003,52233,17909,31967,329,1633,395,0.04512473
2021,Denbighshire,W06000004,42387,14107,26603,277,1117,283,0.039564017
2021,Flintshire,W06000005,66912,19471,44512,464,1898,567,0.043773912
2021,Wrexham,W06000006,57912,17662,37706,512,1502,530,0.043928719
2021,Ceredigion,W06000008,30893,10202,18877,171,1078,565,0.058718804
2021,Pembrokeshire,W06000009,55488,18507,34496,372,1704,409,0.044784458
2021,Carmarthenshire,W06000010,81756,25349,53174,497,2115,621,0.039544498
2021,Swansea,W06000011,104962,36154,62394,1049,3481,1884,0.06110783
2021,Neath Port Talbot,W06000012,62375,20368,39881,412,1337,377,0.034084168
2021,Bridgend,W06000013,62360,18664,41368,349,1554,425,0.037331623
2021,Vale of Glamorgan,W06000014,57451,17841,35932,578,2557,543,0.064019773
2021,Cardiff,W06000015,147333,47463,82765,3153,8634,5318,0.116097548
2021,Rhondda Cynon Taff,W06000016,103339,32170,67591,562,2156,860,0.034623908
2021,Caerphilly,W06000018,76257,22965,50861,449,1573,409,0.031879041
2021,Blaenau Gwent,W06000019,30340,10175,19394,173,447,151,0.025411997
2021,Torfaen,W06000020,40241,12316,26476,242,925,282,0.036008051
2021,Monmouthshire,W06000021,40924,12287,26528,261,1525,323,0.051534552
2021,Newport,W06000022,66053,19997,40927,1120,2937,1072,0.077649766
2021,Powys,W06000023,60182,19841,37890,279,1747,425,0.040726463
2021,Merthyr Tydfil,W06000024,25783,8258,16706,180,440,199,0.031765117
