date,geography,geography code,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy_rating_for_bedrooms
2021,Lambeth,E09000022,134689,21600,34995,63871,11440,2783,0.420190216
2021,Lewisham,E09000023,122392,22849,33308,52274,11211,2750,0.458829008
2021,Merton,E09000024,81729,23541,23381,27129,6208,1470,0.574116899
2021,Newham,E09000025,115507,14463,26045,50136,18316,6547,0.35069736
2021,Redbridge,E09000026,103714,29194,27566,33324,10899,2731,0.547274235
2021,Richmond upon Thames,E09000027,80705,28502,25300,23682,2821,400,0.666650146
2021,Southwark,E09000028,130818,17780,33974,63094,12735,3235,0.39561834
2021,Sutton,E09000029,82348,23272,25107,28038,5286,645,0.587494535
2021,Tower Hamlets,E09000030,120539,9039,29162,63208,14882,4248,0.316918176
2021,Waltham Forest,E09000031,102903,21746,28709,38615,10794,3039,0.490316123
2021,Wandsworth,E09000032,137393,29689,38614,58750,8742,1598,0.497135953
2021,Westminster,E09000033,94814,11541,25088,48474,7658,2053,0.386324804
2021,Isle of Anglesey,W06000001,30822,14161,10652,5507,455,47,0.805041853
2021,Gwynedd,W06000002,51105,22080,18550,9486,888,101,0.795029841
2021,Conwy,W06000003,52233,19803,19755,11611,964,100,0.757337315
2021,Denbighshire,W06000004,42387,15712,16461,9330,795,89,0.759029891
2021,Flintshire,W06000005,66911,28944,23746,12996,1087,138,0.787463945
2021,Wrexham,W06000006,57914,21824,20894,13753,1276,167,0.73761094
2021,Ceredigion,W06000008,30894,14622,10198,5643,370,61,0.803392244
2021,Pembrokeshire,W06000009,55485,25439,18345,10742,872,87,0.789114175
2021,Carmarthenshire,W06000010,81759,38471,27511,14415,1217,145,0.807030419
2021,Swansea,W06000011,104962,40802,36543,25241,2145,231,0.73688573
2021,Neath Port Talbot,W06000012,62375,26538,21942,12764,1022,109,0.777234469
2021,Bridgend,W06000013,62360,27720,21675,11795,1035,135,0.792094291
2021,Vale of Glamorgan,W06000014,57450,26401,18665,11458,847,79,0.784438642
2021,Cardiff,W06000015,147332,50564,47250,43712,5031,775,0.663901936
2021,Rhondda Cynon Taff,W06000016,103339,43432,37200,20692,1816,199,0.780266889
2021,Caerphilly,W06000018,76257,31219,27810,15614,1434,180,0.774079757
2021,Blaenau Gwent,W06000019,30340,10606,12118,6938,613,65,0.748978247
2021,Torfaen,W06000020,40241,15882,14254,9189,816,100,0.74888795
2021,Monmouthshire,W06000021,40924,21295,11848,7233,504,44,0.809867071
2021,Newport,W06000022,66054,26615,22176,14996,1807,460,0.738653223
2021,Powys,W06000023,60182,29170,20308,9928,681,95,0.82213951
2021,Merthyr Tydfil,W06000024,25783,9937,9308,5893,578,67,0.746422061
